time,total,car,bus,bike,truck,east_middle_road_1_queue,east_middle_road_2_queue,north_middle_road_1_queue,north_middle_road_2_queue,south_middle_road_1_queue,south_middle_road_2_queue,west_middle_road_1_queue,west_middle_road_2_queue,east_green,east_yellow,east_red,south_green,south_yellow,south_red,west_green,west_yellow,west_red,north_green,north_yellow,north_red
1610,8,1,1,5,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1620,7,1,0,5,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1630,6,0,0,6,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1640,7,0,0,6,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1650,5,0,0,4,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1660,6,1,0,4,1,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1670,4,1,0,3,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1680,4,1,0,3,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1690,4,0,0,4,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1700,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1710,5,0,0,5,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1720,4,0,0,4,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1730,4,0,0,4,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1740,3,0,0,3,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1750,3,0,0,3,0,0.0,0.0,0.0,0.0,1.0,4.99,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
1760,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.5,1,10,0.5,1,10,0.5,1,10,0.5,1
